"","approx_year_built","cats_allowed","coop_condo","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","sale_price","sq_footage","walk_score","Zipcode","total_charges"
"89",1952,"No","co-op","combo","No","oil","yes","Eat_In",815,1,1,0,3,197500,NA,"Walker's Paradise","West Central Queens",0
"90",1959,"No","co-op","formal","No","oil","no","Eat_In",596,1,1,0,3,220000,NA,"Walker's Paradise","West Queens",0
"91",1964,"Yes","co-op","combo","No","gas","no","Combo",NA,1,1,0,3,283500,NA,"Walker's Paradise","West Central Queens",0
"92",1963,"Yes","co-op","combo","Yes","oil","yes","Efficient",458,1,1,0,2,173000,NA,"Walker's Paradise","West Queens",0
"93",1954,"Yes","co-op","other","No","oil","no","Eat_In",597,2,1,0,4,169000,850,"Very Walkable","Southwest Queens",0
"94",1940,"Yes","co-op","combo","No","oil","no","Efficient",322,1,1,0,3,143000,NA,"Walker's Paradise","Southwest Queens",0
"95",1951,"No","co-op","combo","No","oil","no","Eat_In",849,2,1,0,4,170000,NA,"Walker's Paradise","West Queens",0
"96",1965,"Yes","co-op","other","No","gas","no","Efficient",753,1,1,0,3,82000,NA,"Very Walkable","Southwest Queens",0
"97",1973,"Yes","condo","combo","Yes","electric","yes","Efficient",0,2,1,0,4,383000,778,"Walker's Paradise","Central Queens",700.75
"98",1950,"No","co-op","combo","No","gas","no","Efficient",575,1,1,0,4,165000,NA,"Very Walkable","Northeast Queens",0
"99",1950,"No","co-op","other","No",NA,"no","Eat_In",499,1,1,0,3,185000,NA,"Very Walkable","Jamaica",0
"100",1935,"Yes","co-op","combo","Yes","oil","no","Eat_In",804,1,1,0,3,409000,NA,"Walker's Paradise","West Queens",0
"101",1950,"No","co-op",NA,"No","oil","no","Eat_In",475,0,1,0,2,145000,500,"Walker's Paradise","West Central Queens",0
"102",1980,"No","condo","formal","No","gas","no","Eat_In",0,3,2,0,6,590000,NA,"Very Walkable","Northeast Queens",533.75
"103",1982,"No","condo","combo","No","oil","yes","Eat_In",0,2,2,0,5,620000,NA,"Very Walkable","North Queens",1208.91666666667
"104",2009,"No","condo","combo","No","gas","no","Eat_In",0,1,2,0,5,415000,862,"Walker's Paradise","North Queens",275.583333333333
"105",1950,"Yes","co-op",NA,"Yes","oil","no","Efficient",439,0,1,0,1,150000,400,"Walker's Paradise","West Queens",0
"106",1950,"Yes","co-op","combo","Yes","oil","no","Eat_In",698,2,1,0,4,267000,NA,"Somewhat Walkable","Southeast Queens",0
"107",1965,"Yes","co-op",NA,"Yes","gas","yes","Combo",NA,1,1,0,4,397000,NA,"Walker's Paradise","West Central Queens",0
"108",1950,"No","co-op","other","No",NA,"no","Efficient",495,1,1,0,3,195000,NA,"Somewhat Walkable","West Central Queens",0
"109",1951,"Yes","co-op","combo","No","oil","no","Efficient",NA,3,1,0,5,225000,NA,"Very Walkable","Northeast Queens",0
"110",1952,"Yes","co-op","other","Yes","gas","no","Efficient",559,1,1,0,3,210000,NA,"Walker's Paradise","West Queens",0
"111",1945,"Yes","co-op",NA,"Yes","gas","no","Combo",NA,1,1,0,3,153000,NA,"Very Walkable","Central Queens",0
"112",1955,"Yes","co-op","combo","No","gas","no","Eat_In",640,1,1,0,3,170000,NA,"Very Walkable","North Queens",0
"113",1942,"No","co-op","combo","No","oil","yes","Eat_In",829,2,1,0,4,243000,NA,"Walker's Paradise","Central Queens",0
"114",1950,"Yes","co-op","combo","Yes","gas","no","Eat_In",671,2,1,0,4,217761,NA,"Somewhat Walkable","Northeast Queens",0
"115",1990,"No","condo",NA,"No","gas","no","Combo",0,1,1,0,5,439000,650,"Walker's Paradise","North Queens",658.5
"116",1965,"No","co-op",NA,"No","oil","yes","Eat_In",NA,3,2,0,6,950000,NA,"Walker's Paradise","West Central Queens",0
"117",1950,"Yes","co-op","formal","Yes","oil","no","Eat_In",698,2,1,0,3,275000,NA,"Very Walkable","Southeast Queens",0
"118",1950,"Yes","co-op","combo","No","oil","no","Eat_In",735,1,1,0,3,132000,700,"Very Walkable","North Queens",0
"119",1950,"No","co-op",NA,"No","gas","no","Eat_In",539,1,1,0,4,109500,700,"Very Walkable","Southeast Queens",0
"120",1950,"Yes","co-op","other","Yes","gas","no","Eat_In",765,3,1,0,5,298000,812,"Very Walkable","Southeast Queens",0
"121",1964,"Yes","co-op","combo","No","gas","no","Combo",874,1,1,0,3,285000,NA,"Walker's Paradise","West Central Queens",0
"122",1965,"Yes","co-op","formal","Yes","oil","no","Efficient",NA,3,1,1,6,231000,1059,"Very Walkable","Southwest Queens",0
"123",1950,"Yes","co-op","combo","Yes","gas","no","Eat_In",601,2,1,0,4,218340,NA,"Very Walkable","Northeast Queens",0
"124",2006,"Yes","condo",NA,"Yes","other","no","Efficient",0,2,1,1,4,665000,883,"Very Walkable","Northwest Queens",917
"125",1939,"No","co-op",NA,"No","gas","no","Efficient",951,2,1,0,5,399000,950,"Very Walkable","West Queens",0
"126",1956,"Yes","co-op","formal","Yes","gas","no","Combo",NA,2,2,0,5,350000,1300,"Somewhat Walkable","Northeast Queens",0
"127",1915,"Yes","co-op","formal","Yes","oil","no","Efficient",NA,2,1,0,5,498000,NA,"Walker's Paradise","West Queens",0
"128",1950,"No","co-op","combo","No","oil","no","Eat_In",728,1,1,0,3,89000,NA,"Very Walkable","Central Queens",0
"129",1935,"No","co-op",NA,"No","gas","no","Eat_In",523,1,1,0,3,278000,700,"Walker's Paradise","West Queens",0
"130",1960,"No","co-op",NA,"No","gas","no","Eat_In",NA,3,2,0,6,560000,1300,"Walker's Paradise","West Central Queens",0
"131",1955,"Yes","co-op","combo","Yes","oil","no","Eat_In",NA,2,2,0,5,262000,NA,"Very Walkable","Jamaica",0
"132",1950,"Yes","co-op","other","Yes","gas","no","Efficient",NA,2,1,0,5,215000,1000,"Very Walkable","Central Queens",0
"133",1940,"No","co-op","combo","No","gas","no","Eat_In",564,1,1,0,3,170000,600,"Walker's Paradise","West Central Queens",0
"134",1961,"No","co-op",NA,"No","oil","no","Efficient",543,0,1,0,2,78000,NA,"Walker's Paradise","Jamaica",0
"135",1985,"Yes","condo","combo","Yes","gas","no","Combo",0,2,2,0,5,630000,1300,"Somewhat Walkable","North Queens",897.333333333333
"136",2015,"No","condo","combo","No","gas","no","Combo",0,2,2,0,6,489000,6215,"Very Walkable","North Queens",313.166666666667
"137",2010,"Yes","condo","other","Yes","gas","yes","Combo",0,2,2,0,4,630000,1172,"Very Walkable","Southwest Queens",463.833333333333
"138",1952,"Yes","co-op","combo","Yes","oil","yes","Combo",857,2,1,0,4,359888,1000,"Walker's Paradise","West Central Queens",0
